replicate,instance,group,result
11,2,1,260681.601175656 
13,4,1,10337.8462756472 
10,5,1,2179.84768164999 
15,7,1,319.42872231038 
9,2,1,476210.166856318 
12,5,1,3524.96082994855 
8,4,1,23398.0718363029 
15,8,1,293.773411111902 
10,6,1,2221.74908494938 
13,5,1,6362.37029433664 
14,2,1,701081.213262204 
12,6,1,3825.9980771804 
15,9,1,330.452281050428 
11,3,1,254105.861791457 
10,7,1,1659.79158657633 
8,5,1,24978.3185828154 
13,6,1,8136.67898408582 
15,10,1,348.696345144862 
12,7,1,4080.18153429817 
9,3,1,489212.490524153 
10,8,1,2225.23003532358 
15,11,1,286.964001941303 
13,7,1,10895.9487198644 
8,6,1,22812.8422880653 
12,8,1,4653.63586952596 
15,12,1,405.935462241342 
11,4,1,301742.199470857 
10,9,1,3149.97345589673 
14,3,1,651153.182974501 
15,13,1,288.309205497807 
13,8,1,8784.17692177741 
12,9,1,4746.50002245325 
8,7,1,21930.4569355921 
10,10,1,2538.1189372454 
15,14,1,296.340834194058 
9,4,1,458393.511553873 
12,10,1,4090.42316838093 
13,9,1,10790.1569130933 
10,11,1,2305.42374361773 
15,15,1,289.531741647173 
11,5,1,308529.63385059 
8,8,1,21391.8903498573 
15,16,1,429.791835408776 
12,11,1,4137.51402647524 
10,12,1,2227.81923689886 
13,10,1,9534.21451268447 
14,4,1,646783.979985925 
15,17,1,290.634098636736 
8,9,1,25774.5994263493 
12,12,1,4781.1780779326 
10,13,1,2986.84112303698 
9,5,1,459391.394293668 
15,18,1,322.174862944128 
13,11,1,9176.03691112936 
11,6,1,328087.854944755 
15,19,1,287.308906579856 
10,14,1,2977.38346696698 
12,13,1,3884.59722869621 
8,10,1,29090.5765374411 
13,12,1,10462.2276610398 
15,20,1,257.81566668387 
10,15,1,2656.51065345055 
12,14,1,4389.07308459457 
14,5,1,684735.756457774 
15,21,1,331.263522222757 
9,6,1,478467.946038532 
8,11,1,34148.2851833119 
13,13,1,9776.45156880591 
11,7,1,201130.435342929 
10,16,1,2025.97793363991 
15,22,1,372.40957305914 
12,15,1,3002.66941663306 
13,14,1,8414.21490011579 
15,23,1,280.561612270148 
10,17,1,2931.32545226571 
8,12,1,29513.4088053318 
12,16,1,3958.85366004975 
15,24,1,363.741742635098 
11,8,1,287779.722531333 
10,18,1,1971.92516744931 
13,15,1,7363.26074610576 
9,7,1,452655.143686039 
12,17,1,3306.41341480837 
15,25,1,317.824319841376 
14,6,1,710194.506527962 
8,13,1,21758.1129822374 
10,19,1,2865.6722404262 
15,26,1,347.578732538031 
13,16,1,11263.2860906088 
12,18,1,4894.49127116204 
15,27,1,257.811595870082 
8,14,1,25479.0045259479 
10,20,1,2156.90877437113 
11,9,1,254443.917805521 
13,17,1,8159.91265515283 
12,19,1,4727.26245306736 
15,28,1,268.517924890343 
9,8,1,523204.57800807 
10,21,1,2237.5007612235 
15,29,1,322.72009974898 
8,15,1,22993.3332254803 
14,7,1,712623.579419627 
12,20,1,2679.84441446399 
13,18,1,6728.62838850826 
